,humans,lat,lon
0,144,46.97017075,142.74644309565514
1,137,46.97040305,142.7465555
2,334,46.93828825,142.7505596
3,28,46.95535345,142.74279979558784
4,280,46.93821195,142.73411605
5,44,46.96001275,142.7447874931705
6,82,46.9305305,142.7535245
7,39,46.9468342,142.73222759509164
8,32,46.9501553,142.7313823
9,95,46.94486925,142.7326362242853
10,137,46.94576365,142.74408595
11,91,46.95914865,142.75041804736622
12,49,46.9575402,142.7540527792616
13,55,46.9527092,142.74395385
14,49,46.9735818,142.7399498
15,52,46.9735818,142.7399498
16,8,46.96020765,142.7423509354581
17,66,46.970471,142.7430332
18,112,46.896383,142.741432
19,43,46.95057045,142.744112453073
20,114,46.96420875,142.7211580835989
21,73,46.91971890000001,142.74248785
22,69,46.9199856,142.745605
23,132,46.94763015,142.72684005
24,16,46.9524314,142.7313154
25,25,46.9524314,142.7313154
26,59,46.9522503,142.74404475472295
27,22,46.9735818,142.7399498
28,30,46.9633,142.74344934654914
29,28,46.965002600000005,142.74099751504718
30,46,46.964941,142.74033415
31,192,46.958999,142.7226499
32,163,46.9607577,142.7257453
33,49,46.9589486,142.74807955276543
34,48,46.95713605,142.74843056801447
35,103,46.9600615,142.75187738192136
36,103,46.95946595,142.75225593343782
37,139,46.94636165,142.73319644861664
38,218,46.94618365,142.7446564953138
39,107,46.9568309,142.74146149619023
40,74,46.957722,142.74831711427123
41,102,46.929142850000005,142.7469834
42,222,46.9261497,142.7478997
43,79,46.9574295,142.751299449238
44,273,46.9537381,142.7386428802349
45,82,46.9529894,142.7378929
46,50,46.96858555,142.7472574
47,110,46.9585666,142.75585866825912
48,47,46.965498,142.7264878
49,120,46.9643061,142.74585025
50,127,46.9417103,142.7443606
51,250,47.0099704,142.71224832374193
52,34,46.9631885,142.74578653599627
53,16,46.96352735000001,142.74598033423993
54,16,46.96425945,142.74535705
55,22,46.9624916,142.7378547
56,29,46.96352625,142.74414645786874
57,Нет,46.9714616,142.72393565
58,Нет,46.9576184,142.7221366
59,36,46.9588078,142.72043390408297
60,,46.9563439,142.7206989
61,Нет,46.9352505,142.727028
62,,46.9956442,142.72862149270887
63,3,46.9648814,142.7018634
64,24,46.9956442,142.72862149270887
65,22,46.9524314,142.7313154
66,1,46.96065015,142.74378335
67,3,46.96553565,142.7102385684304
68,21,46.9530556,142.7225455
69,3,46.9835412,142.7191475
70,7,46.95768674999999,142.68000317219753
71,128,46.9574273,142.727438
72,18,46.9640745,142.74332825
73,61,46.983343,142.7438042
74,11,46.9643061,142.74585025
75,12,46.9956442,142.72862149270887
76,Нет,46.9770348,142.72871323251655
77,264,46.9790912,142.73393703769017
78,528,46.9793936,142.73464312757142
79,Нет,46.9797498,142.7342372
80,Нет,46.9684949,142.734688
81,Нет,46.949247850000006,142.726626
82,3,46.9369843,142.7521237
83,41,46.9438834,142.72439167400591
84,Нет,46.9825744,142.7299464
85,Нет,46.9825744,142.7299464
86,Нет,46.9825744,142.7299464
87,Нет,46.9825744,142.7299464
88,120,46.9646209,142.7456441
89,36,46.9684306,142.7335225
90,92,46.96880415,142.7363254
91,106,46.9686573,142.73334020511726
92,74,46.96092095,142.72872862726467
93,22,46.95418225,142.7297383
94,12,46.95462765,142.72884921791908
95,121,47.0099348,142.72012644132107
96,240,46.9630661,142.7218323
97,135,46.9524344,142.7319126
98,71,46.9638993,142.7423295461234
99,56,46.9603961,142.73469974502194
100,124,46.964288800000006,142.73665357579824
101,92,46.9637682,142.7417829759942
102,220,46.9641084,142.7332556
103,116,46.95624855,142.7415732654868
104,218,46.93035125,142.75245560000002
105,103,46.95947515,142.75393198187567
106,104,46.965498,142.7264878
107,49,46.9649306,142.73582405
108,117,46.96512585,142.744136869873
109,117,46.9644754,142.73606515443404
110,210,46.896383,142.741432
111,61,46.96380285,142.7324196239926
112,30,46.9613802,142.7287593
113,92,46.9627613,142.7284254
114,109,46.9640803,142.7345488
115,89,46.96491615,142.73364504522607
116,56,46.961887,142.73301879999997
117,10,46.965082,142.73610817153218
118,126,46.9689212,142.7357092739681
119,60,46.95290115,142.75557872885588
120,98,46.954455300000006,142.75584736122403
121,18,46.963471,142.74240225
122,138,46.9659514,142.7363323804659
123,17,46.9524314,142.7313154
124,12,46.9524314,142.7313154
125,Нет,46.9576184,142.7221366
126,3,46.9576184,142.7221366
127,12,46.95891565,142.72170122345506
128,63,46.9585316,142.7217872
129,72,46.9580859,142.7218477214425
130,192,46.95488345,142.72248100000002
131,Нет,46.9576184,142.7221366
132,6,46.9583217,142.7179520718928
133,0,46.896383,142.741432
134,0,46.9608178,142.69831282519908
135,12,46.9593452,142.69829925038346
136,6,46.9607607,142.71955872051632
137,9,46.9033058,142.7530485
138,40,46.9584411,142.7205309888489
139,3,46.9835412,142.7191475
140,17,46.9909139,142.7439299
141,Нет,46.9735818,142.7399498
142,Нет,46.9956442,142.72862149270887
143,1,46.921343,142.7375256
144,17,46.9262684,142.7553898
145,6,46.92490205,142.74413642340625
146,0,46.95258745,142.70796205000002
147,Нет,46.9770348,142.72871323251655
148,27,46.9797498,142.7342372
149,Нет,46.96216,142.7303486
150,3,46.9819167,142.7358201
151,48,46.9819167,142.7358201
152,12,46.9359409,142.741325
153,21,46.95411435,142.7551336224546
154,0,46.9710779,142.71875515
155,1,46.9849164,142.7345153
156,37,46.97663695,142.6900214973881
157,0,46.97103055,142.71847445621745
158,43,46.948835,142.7276946
159,59,46.9654051,142.7279418236842
160,0,46.9749078,142.7185569
161,Нет,46.9897853,142.7298365
162,0,46.9956442,142.72862149270887
163,13,46.9548778,142.7107372
164,0,46.9956442,142.72862149270887
165,50,46.95761915,142.75348360490386
166,95,46.9571468,142.7536314
167,23,46.96216,142.7303486
168,104,46.9369843,142.7521237
169,238,46.948835,142.7276946
170,71,46.9352505,142.727028
171,93,46.9603964,142.75549462652407
172,45,46.9216977,142.73575307325396
173,30,46.93425465,142.7555952482658
174,138,46.92431045,142.73943215
175,208,46.92992925,142.74961531290216
176,170,46.92927975,142.74914304905084
177,65,46.9279074,142.75168720560373
178,61,46.92738685,142.7530419486216
179,67,46.9228993,142.73520515
180,94,46.92262575,142.7362596
181,48,46.92230275,142.73548025
182,39,46.92157605,142.74031617770402
183,210,46.93011825,142.74696166345117
184,221,46.9295434,142.74829007542922
185,227,46.9275572,142.75072708951308
186,33,46.92148095,142.73985755826433
187,235,46.9286878,142.74803528005137
188,130,46.92814755,142.74772178042352
189,215,46.921343,142.7375256
190,156,46.92766725,142.74902987444588
191,38,46.92142855,142.73940499999998
192,63,46.9273779,142.74736635699946
193,131,46.92759635,142.7481205315815
194,214,46.9266189,142.74740676267183
195,51,46.92132865,142.73889085000002
196,109,46.9267253,142.747959083595
197,95,46.9268977,142.74846621231538
198,292,46.9260565,142.74769729463657
199,40,46.92121485,142.738356
200,137,46.92320055,142.7384044453649
201,19,46.9211544,142.7375886041929
202,118,46.92240205,142.74034667350253
203,54,46.92270035,142.73989590000002
204,214,46.9222898,142.73890752579075
205,228,46.9223796,142.73947039042247
206,222,46.928096800000006,142.75060604351643
207,82,46.923632,142.73826881955875
208,145,46.92202075,142.73816425
209,182,46.9299258,142.74884190252263
210,160,46.925985350000005,142.74891883362963
211,167,46.92773355,142.74954987453333
212,171,46.93035125,142.75245560000002
213,77,46.92639775,142.74839974739746
214,152,46.9298446,142.74763405363151
215,218,46.93022765,142.75130898578334
216,148,46.9294336,142.75078394385633
217,209,46.93019235,142.7508206286614
218,214,46.93016205,142.75021229512694
219,41,46.958309400000005,142.75507371864126
220,83,46.96026115,142.75403666964473
221,88,46.9600663,142.75351158656434
